Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ
2018-07-23,17-42-12.216,Auto,Idle,TurnToMap,3.59,2.62,1.22,5.8,0.3,1.12,NC,NC,1,0.2,0,0,0,0,12.55,0.24,5.8,0.36,-0.18,-0.03,0.87,31.78,-0.56,-0.47,1,1,-1.26,-0.22,6.079999,222.25,-3.87,-3
2018-07-23,17-42-12.240,Auto,Idle,TurnToMap,3.55,2.63,1.26,5.98,0.31,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,5.98,0.12,-0.18,-0.03,0.87,31.79,-0.5,-0.48,1,1,-1.44,-0.25,6.949999,254.04,-4.37,-3.48
2018-07-23,17-42-12.277,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.31,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0,-0.18,-0.03,0.87,31.79,-0.5,-0.48,1,1,-1.44,-0.25,6.949999,254.04,-4.37,-3.48
2018-07-23,17-42-12.292,Auto,Idle,TurnToMap,3.56,2.63,1.32,6.27,0.31,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.26,6.27,0,-0.18,-0.03,0.87,31.76,-0.5,-0.51,1,1,-1.62,-0.28,7.819999,285.8,-4.87,-3.99
2018-07-23,17-42-12.309,Auto,Idle,TurnToMap,3.59,2.64,1.19,5.65,0.3,1.12,NC,NC,1,0.2,0,0,0,0,12.55,0.28,5.65,0.48,-0.18,-0.03,0.87,31.76,-0.5,-0.51,1,1,-1.62,-0.28,7.819999,285.8,-4.87,-3.99
2018-07-23,17-42-12.338,Auto,Idle,TurnToMap,3.55,2.64,1.33,6.32,0.32,1.13,NC,NC,1,0.2,0,0,0,0,11.95,0.28,6.32,0,-0.18,-0.04,0.87,31.99,-0.56,-0.47,1,1,-1.8,-0.32,8.69,317.79,-5.43,-4.46
2018-07-23,17-42-12.352,Auto,Idle,TurnToMap,3.55,2.65,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.3,6.27,0.12,-0.18,-0.04,0.87,31.99,-0.56,-0.47,1,1,-1.8,-0.32,8.69,317.79,-5.43,-4.46
2018-07-23,17-42-12.388,Auto,Idle,TurnToMap,3.55,2.65,1.31,6.22,0.31,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.3,6.22,0.12,-0.18,-0.03,0.87,31.91,-0.5,-0.43,1,1,-1.98,-0.35,9.559999,349.7,-5.93,-4.89
2018-07-23,17-42-12.401,Auto,Idle,TurnToMap,3.54,2.61,1.32,6.27,0.29,1.13,NC,NC,1,0.2,0,0,0,0,11.8,0.22,6.27,0,-0.18,-0.03,0.87,31.91,-0.5,-0.43,1,1,-1.98,-0.35,9.559999,349.7,-5.93,-4.89
2018-07-23,17-42-12.430,Auto,Idle,TurnToMap,3.54,2.64,1.26,5.98,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.28,5.98,0.12,-0.18,-0.04,0.87,31.68,-0.51,-0.46,1,1,-2.16,-0.39,10.43,381.38,-6.44,-5.35
2018-07-23,17-42-12.444,Auto,Idle,TurnToMap,3.55,2.62,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.27,0,-0.18,-0.04,0.87,31.68,-0.51,-0.46,1,1,-2.16,-0.39,10.43,381.38,-6.44,-5.35
2018-07-23,17-42-12.460,Auto,Idle,TurnToMap,3.55,2.62,1.29,6.13,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.13,0,-0.18,-0.04,0.87,31.68,-0.51,-0.46,1,1,-2.16,-0.39,10.43,381.38,-6.44,-5.35
2018-07-23,17-42-12.475,Auto,Idle,TurnToMap,3.55,2.64,1.26,5.98,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.28,5.98,0.24,-0.18,-0.04,0.87,31.68,-0.51,-0.46,1,1,-2.16,-0.39,10.43,381.38,-6.44,-5.35
2018-07-23,17-42-12.490,Auto,Idle,TurnToMap,3.55,2.61,1.33,6.32,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.22,6.32,0.12,-0.18,-0.04,0.87,31.83,-0.53,-0.5,1,1,-2.34,-0.43,11.3,413.21,-6.969999,-5.85
2018-07-23,17-42-12.517,Auto,Idle,TurnToMap,3.55,2.62,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.22,0,-0.18,-0.04,0.87,31.83,-0.53,-0.5,1,1,-2.34,-0.43,11.3,413.21,-6.969999,-5.85
2018-07-23,17-42-12.533,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0.12,-0.18,-0.03,0.87,31.88,-0.51,-0.52,1,1,-2.52,-0.46,12.17,445.09,-7.48,-6.37
2018-07-23,17-42-12.551,Auto,Idle,TurnToMap,3.55,2.64,1.3,6.18,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.28,6.18,0,-0.18,-0.03,0.87,31.88,-0.51,-0.52,1,1,-2.52,-0.46,12.17,445.09,-7.48,-6.37
