Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,AugarOutput,ImpellerOutput,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ,Tempature_MPU,SideWall,FrontWall,Proximity,Positionx,Positiony,Positionz
2018-07-27,19-35-08.520,None,Idle,None,3.44,2.55,1.4,6.65,0,0,NC,NC,0,0,0,0,0,0,9.75,0.12,6.7,0.12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-27,19-35-08.541,Auto,Idle,None,3.45,2.56,1.41,6.7,0,0,NC,NC,0,0,0,0,0,0,9.75,0.12,6.7,0.12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-27,19-35-08.565,Auto,Idle,None,3.45,2.58,1.41,6.7,0.38,1.11,NC,NC,0,0,0,0,0,0,9.75,0.16,6.7,0.24,0.02536621,0.01965332,0.05832517,7.045801,0.1221374,-3.068702,1,1,0.02536621,0.01965332,0.05832517,7.045801,0.1221374,-3.068702,-0.2,0,0,null,0.02536621,0.01965332,0.05832517
2018-07-27,19-35-08.588,Auto,Idle,None,3.45,2.55,1.41,6.7,0.35,1.11,NC,NC,0,0,0,0,0,0,9.75,0.1,6.7,0.12,0.02536621,0.01965332,0.05832517,7.045801,0.1221374,-3.068702,1,1,0.02536621,0.01965332,0.05832517,7.045801,0.1221374,-3.068702,-0.2,0,0,null,0.02536621,0.01965332,0.05832517
2018-07-27,19-35-08.652,Auto,Idle,None,3.44,2.56,1.4,6.65,0.33,1.11,NC,NC,0,0,0,0,0,0,9.6,0.12,6.65,0.12,0.02536621,0.01965332,0.05832517,7.045801,0.1221374,-3.068702,1,1,0.07609863,0.05895996,0.1749755,21.1374,1.366412,-10.20611,-0.2,0,0,null,0.1521973,0.1179199,0.349951
2018-07-27,19-35-08.704,Auto,Idle,None,3.44,2.58,1.4,6.65,0.34,1.11,NC,NC,0,0,0,0,0,0,9.6,0.16,6.65,0.12,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-3.068702,1,1,0.1014648,0.07861328,0.2333007,28.1832,2.48855,-13.27481,-0.2,0,0,null,0.2536621,0.1965332,0.5832517
2018-07-27,19-35-08.751,Auto,Idle,None,3.46,2.56,1.42,6.74,0.32,1.11,NC,NC,0,0,0,0,0,0,9.9,0.12,6.74,0.24,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-3.068702,1,1,0.1268311,0.0982666,0.2916259,35.229,3.610687,-16.34351,-0.2,0,0,null,0.3804932,0.2947998,0.8748776
2018-07-27,19-35-08.792,Auto,Idle,None,3.44,2.56,1.42,6.74,0.32,1.11,NC,NC,0,0,0,0,0,0,9.6,0.12,6.74,0.24,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-4.068702,1,1,0.1521973,0.1179199,0.349951,42.2748,4.732825,-20.41221,-0.2,0,0,null,0.5326904,0.4127197,1.224829
2018-07-27,19-35-08.840,Auto,Idle,None,3.44,2.57,1.41,6.7,0.32,1.11,NC,NC,0,0,0,0,0,0,9.6,0.14,6.7,0.24,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-3.068702,1,1,0.1775635,0.1375732,0.4082762,49.3206,5.854962,-23.48092,-0.2,0,0,null,0.7102539,0.550293,1.633105
2018-07-27,19-35-08.911,Auto,Idle,None,3.45,2.56,1.42,6.74,0.33,1.11,NC,NC,0,0,0,0,0,0,9.75,0.12,6.74,0.12,0.02536621,0.01965332,0.05832517,7.045801,0.1221374,-3.068702,1,1,0.2029297,0.1572266,0.4666014,56.3664,5.9771,-26.54962,-0.2,0,0,null,0.9131836,0.7075195,2.099706
2018-07-27,19-35-08.966,Auto,Idle,None,3.45,2.56,1.42,6.74,0.32,1.11,NC,NC,0,0,0,0,0,0,9.75,0.12,6.74,0.12,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-3.068702,1,1,0.2282959,0.1768799,0.5249265,63.4122,7.099237,-29.61832,-0.2,0,0,null,1.141479,0.8843994,2.624633
2018-07-27,19-35-09.006,Auto,Idle,None,3.45,2.57,1.41,6.7,0.33,1.11,NC,NC,0,0,0,0,0,0,9.75,0.14,6.7,0.24,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-4.068702,1,1,0.2536621,0.1965332,0.5832517,70.458,8.221375,-33.68702,-0.2,0,0,null,1.395142,1.080933,3.207885
2018-07-27,19-35-09.046,Auto,Idle,None,3.44,2.57,1.4,6.65,0.32,1.11,NC,NC,0,0,0,0,0,0,9.6,0.14,6.65,0.24,0.02536621,0.01965332,0.05832517,7.045801,0.1221374,-3.068702,1,1,0.2790284,0.2161865,0.6415769,77.5038,8.343512,-36.75573,-0.2,0,0,null,1.67417,1.297119,3.849462
2018-07-27,19-35-09.114,Auto,Idle,None,3.44,2.55,1.4,6.65,0.33,1.11,NC,NC,0,0,0,0,0,0,9.6,0.1,6.65,0.12,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-3.068702,1,1,0.3297608,0.2554932,0.7582272,91.5954,10.58779,-42.89313,-0.2,0,0,null,2.308325,1.788452,5.307591
2018-07-27,19-35-09.160,Auto,Idle,None,3.45,2.57,1.41,6.7,0.33,1.11,NC,NC,0,0,0,0,0,0,9.75,0.14,6.7,0.24,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-3.068702,1,1,0.3297608,0.2554932,0.7582272,91.5954,10.58779,-42.89313,-0.2,0,0,null,2.308325,1.788452,5.307591
2018-07-27,19-35-09.213,Auto,Idle,None,3.44,2.58,1.4,6.65,0.33,1.11,NC,NC,0,0,0,0,0,0,9.6,0.16,6.65,0.24,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-4.068702,1,1,0.3804932,0.2947998,0.8748776,105.687,12.83206,-50.03054,-0.2,0,0,null,3.043946,2.358398,6.999021
2018-07-27,19-35-09.271,Auto,Idle,None,3.46,2.56,1.41,6.7,0.32,1.11,NC,NC,0,0,0,0,0,0,9.9,0.12,6.7,0.24,0.02536621,0.01965332,0.05832517,7.045801,0.1221374,-3.068702,1,1,0.4058594,0.3144531,0.9332027,112.7328,12.9542,-53.09924,-0.2,0,0,null,3.449805,2.672852,7.932224
2018-07-27,19-35-09.304,Auto,Idle,None,3.44,2.55,1.41,6.7,0.33,1.11,NC,NC,0,0,0,0,0,0,9.6,0.1,6.7,0.12,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-4.068702,1,1,0.4312257,0.3341064,0.9915279,119.7786,14.07633,-57.16794,-0.2,0,0,null,3.881031,3.006958,8.923752
2018-07-27,19-35-09.362,Auto,Idle,None,3.44,2.56,1.41,6.7,0.29,1.11,NC,NC,0,0,0,0,0,0,9.6,0.12,6.7,0.24,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-3.068702,1,1,0.4565919,0.3537598,1.049853,126.8244,15.19847,-60.23664,-0.2,0,0,null,4.337623,3.360718,9.973605
2018-07-27,19-35-09.402,Auto,Idle,None,3.45,2.58,1.41,6.7,0.32,1.11,NC,NC,0,0,0,0,0,0,9.75,0.16,6.7,0.12,0.02536621,0.01965332,0.05832517,7.045801,0.1221374,-3.068702,1,1,0.4819581,0.3734131,1.108178,133.8702,15.32061,-63.30535,-0.2,0,0,null,4.819581,3.734131,11.08178
2018-07-27,19-35-09.453,Auto,Idle,None,3.44,2.57,1.4,6.65,0.32,1.11,NC,NC,0,0,0,0,0,0,9.6,0.14,6.65,0.12,0.02536621,0.01965332,0.05832517,7.045801,1.122137,-4.068702,1,1,0.5073243,0.3930664,1.166503,140.916,16.44275,-67.37405,-0.2,0,0,null,5.326905,4.127197,12.24829
