Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,AugarOutput,ImpellerOutput,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ,Tempature_MPU,SideWall,FrontWall,Proximity,Positionx,Positiony,Positionz
2018-07-29,20-19-00.643,Auto,Idle,TurnToMap,3.51,2.58,1.94,9.22,0.6,0.68,NC,NC,0,0,0,0,0,0,7.15,0.16,9.22,0.24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-19-00.654,Auto,Idle,TurnToMap,3.51,2.58,1.94,9.22,0.6,0.68,NC,NC,0,0,0,0,0,0,7.15,0.16,9.22,0.24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-19-00.663,Auto,Idle,TurnToMap,3.51,2.58,1.94,9.22,0.6,0.68,NC,NC,0,0,0,0,0,0,7.15,0.16,9.22,0.24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-19-00.671,Auto,Idle,TurnToMap,3.51,2.58,1.94,9.22,0.6,0.68,NC,NC,0,0,0,0,0,0,7.15,0.16,9.22,0.24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-19-00.689,Auto,Idle,TurnToMap,3.51,2.58,1.94,9.22,0.6,0.68,NC,NC,0,0,0,0,0,0,7.15,0.16,9.22,0.24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-19-00.750,Auto,Idle,TurnToMap,3.51,2.58,1.94,9.22,0.6,0.68,NC,NC,0,0,0,0,0,0,7.15,0.16,9.22,0.24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-19-00.798,Auto,Idle,TurnToMap,3.54,2.59,1.96,9.31,0.32,0.47,NC,NC,1,0.3,0,0,0,0,7.6,0.18,9.31,0.36,-0.1,0,0.2,24,2,0,1,1,-0.1,0,0.2,24,2,0,-0.1,0,0,null,0,0,0
2018-07-29,20-19-00.852,Auto,Idle,TurnToMap,3.55,2.6,1.97,9.36,0.3,0.48,NC,NC,1,0.3,0,0,0,0,7.75,0.2,9.36,0.36,-0.1,0,0.2,24,2,0,1,1,-0.2,0,0.4,48,4,0,-0.1,0,0,null,0,0,0
2018-07-29,20-19-00.908,Auto,Idle,TurnToMap,3.51,2.58,1.94,9.22,0.29,0.46,NC,NC,1,0.3,1,0,0,0,7.15,0.16,9.22,0.48,-0.1,0,0.2,24,2,0,1,1,-0.3,0,0.6,72,6,0,-0.1,0,0,null,0,0,1
2018-07-29,20-19-00.942,Auto,Idle,TurnToMap,3.53,2.59,1.96,9.31,0.28,0.45,NC,NC,1,0.3,2,0,0,0,7.45,0.18,9.31,0.24,-0.1,0,0.2,24,2,0,1,1,-0.4,0,0.8,96,8,0,-0.1,0,0,null,0,0,2
2018-07-29,20-19-00.994,Auto,Idle,TurnToMap,3.54,2.58,1.93,9.17,0.28,0.45,NC,NC,1,0.3,2,0,0,0,7.6,0.16,9.17,0.48,-0.1,0,0.2,24,2,0,1,1,-0.5,0,1,120,10,0,-0.1,0,0,null,0,0,3
