Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-22,18-34-55.682,Auto,Idle,None,3.65,2.61,0,0,0,0,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-34-55.687,Auto,Idle,None,3.65,2.61,0.03,0.14,0.37,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-34-55.693,Auto,Idle,None,3.64,2.62,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.3,0.24,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-34-55.709,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-05.002,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-11.784,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-11.789,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-11.897,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-15.197,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-15.341,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-19.105,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-21.815,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-24.238,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-24.268,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-24.370,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
2018-07-22,18-35-25.700,Auto,Idle,None,3.65,2.61,0.03,0.14,0.34,1.04,NC,NC,0,0,0,0,0,0,13.45,0.22,0.14,0.12,0,0,0,0,0,0,1,1
