Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ
2018-07-23,17-39-11.566,None,Idle,None,0,0,0,0,0,0,NC,NC,0,0,0,0,0,0,11.8,0.28,6.03,0.12,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018-07-23,17-39-11.636,Auto,Idle,TurnToMap,3.55,2.63,1.3,6.18,0.32,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.18,0.36,-0.18,-0.04,0.87,31.37,-0.65,-0.29,1,1,-0.18,-0.04,0.87,31.37,-0.65,-0.29
2018-07-23,17-39-11.694,Auto,Idle,TurnToMap,3.55,2.63,1.3,6.18,0.33,1.13,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.18,0.36,-0.18,-0.04,0.87,31.79,-0.52,-0.53,1,1,-0.54,-0.11,2.61,94.92,-1.71,-1.26
2018-07-23,17-39-11.729,Auto,Idle,TurnToMap,3.61,2.64,1.32,6.27,0.31,1.12,NC,NC,1,0.2,0,0,0,0,12.85,0.28,6.27,0.36,-0.18,-0.04,0.87,31.79,-0.52,-0.53,1,1,-0.54,-0.11,2.61,94.92,-1.71,-1.26
2018-07-23,17-39-11.759,Auto,Idle,TurnToMap,3.55,2.62,1.3,6.18,0.31,1.13,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.18,0.36,-0.18,-0.04,0.87,32.02,-0.56,-0.48,1,1,-0.72,-0.15,3.48,126.94,-2.27,-1.74
2018-07-23,17-39-11.831,Auto,Idle,TurnToMap,3.55,2.62,1.3,6.18,0.3,1.13,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.18,0.36,-0.18,-0.03,0.87,31.96,-0.54,-0.49,1,1,-0.9,-0.18,4.35,158.9,-2.81,-2.23
2018-07-23,17-39-11.849,Auto,Idle,TurnToMap,3.55,2.63,1.3,6.18,0.3,1.13,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.18,0.6,-0.18,-0.03,0.87,31.96,-0.54,-0.49,1,1,-0.9,-0.18,4.35,158.9,-2.81,-2.23
2018-07-23,17-39-11.864,Auto,Idle,TurnToMap,3.55,2.62,1.3,6.18,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.18,0.24,-0.18,-0.04,0.87,31.81,-0.55,-0.51,1,1,-1.08,-0.22,5.22,190.71,-3.36,-2.74
2018-07-23,17-39-11.874,Auto,Idle,TurnToMap,3.55,2.62,1.3,6.18,0.3,1.13,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.18,0.24,-0.18,-0.04,0.87,31.81,-0.55,-0.51,1,1,-1.08,-0.22,5.22,190.71,-3.36,-2.74
2018-07-23,17-39-11.883,Auto,Idle,TurnToMap,3.55,2.62,1.31,6.22,0.3,1.13,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.22,0.36,-0.18,-0.04,0.87,31.81,-0.55,-0.51,1,1,-1.08,-0.22,5.22,190.71,-3.36,-2.74
2018-07-23,17-39-11.917,Auto,Idle,TurnToMap,3.56,2.64,1.31,6.22,0.31,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.28,6.22,0.36,-0.18,-0.04,0.87,31.89,-0.51,-0.52,1,1,-1.26,-0.26,6.09,222.6,-3.87,-3.26
2018-07-23,17-39-11.926,Auto,Idle,TurnToMap,3.55,2.64,1.29,6.13,0.31,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.28,6.13,0.24,-0.18,-0.04,0.87,31.89,-0.51,-0.52,1,1,-1.26,-0.26,6.09,222.6,-3.87,-3.26
2018-07-23,17-39-11.945,Auto,Idle,TurnToMap,3.55,2.61,1.31,6.22,0.3,1.13,NC,NC,1,0.2,0,0,0,0,11.95,0.22,6.22,0.36,-0.18,-0.04,0.87,31.97,-0.51,-0.51,1,1,-1.44,-0.3,6.96,254.57,-4.38,-3.77
2018-07-23,17-39-11.971,Auto,Idle,TurnToMap,3.57,2.62,1.3,6.18,0.32,1.13,NC,NC,1,0.2,0,0,0,0,12.25,0.24,6.18,0.24,-0.18,-0.04,0.87,31.85,-0.54,-0.5,1,1,-1.62,-0.34,7.829999,286.42,-4.92,-4.27
2018-07-23,17-39-11.992,Auto,Idle,TurnToMap,3.54,2.63,1.29,6.13,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.26,6.13,0.24,-0.18,-0.04,0.87,31.85,-0.54,-0.5,1,1,-1.62,-0.34,7.829999,286.42,-4.92,-4.27
2018-07-23,17-39-12.008,Auto,Idle,TurnToMap,3.56,2.62,1.32,6.27,0.31,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.24,6.27,0.36,-0.18,-0.04,0.87,31.85,-0.54,-0.5,1,1,-1.62,-0.34,7.829999,286.42,-4.92,-4.27
2018-07-23,17-39-12.025,Auto,Idle,TurnToMap,3.61,2.63,1.32,6.27,0.3,1.13,NC,NC,1,0.2,0,0,0,0,12.85,0.26,6.27,0.24,-0.18,-0.04,0.87,31.74,-0.5,-0.5,1,1,-1.8,-0.38,8.7,318.16,-5.42,-4.77
2018-07-23,17-39-12.043,Auto,Idle,TurnToMap,3.54,2.63,1.29,6.13,0.31,1.13,NC,NC,1,0.2,0,0,0,0,11.8,0.26,6.13,0.12,-0.18,-0.04,0.87,31.74,-0.5,-0.5,1,1,-1.8,-0.38,8.7,318.16,-5.42,-4.77
2018-07-23,17-39-12.066,Auto,Idle,TurnToMap,3.54,2.62,1.32,6.27,0.31,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.24,6.27,0.24,-0.18,-0.03,0.87,31.93,-0.55,-0.52,1,1,-1.98,-0.41,9.57,350.09,-5.97,-5.29
2018-07-23,17-39-12.092,Auto,Idle,TurnToMap,3.54,2.62,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.24,6.22,0.36,-0.18,-0.03,0.87,31.93,-0.55,-0.52,1,1,-1.98,-0.41,9.57,350.09,-5.97,-5.29
2018-07-23,17-39-12.111,Auto,Idle,TurnToMap,3.54,2.61,1.3,6.18,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.8,0.22,6.18,0.24,-0.18,-0.03,0.87,31.93,-0.55,-0.52,1,1,-1.98,-0.41,9.57,350.09,-5.97,-5.29
2018-07-23,17-39-12.128,Auto,Idle,TurnToMap,3.55,2.63,1.33,6.32,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.32,0.36,-0.18,-0.04,0.87,31.89,-0.45,-0.49,1,1,-2.16,-0.45,10.44,381.98,-6.42,-5.78
2018-07-23,17-39-12.144,Auto,Idle,TurnToMap,3.55,2.63,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.27,0.36,-0.18,-0.04,0.87,31.89,-0.45,-0.49,1,1,-2.16,-0.45,10.44,381.98,-6.42,-5.78
2018-07-23,17-39-12.177,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0.24,-0.18,-0.04,0.87,31.92,-0.55,-0.48,1,1,-2.34,-0.4899999,11.31,413.9,-6.97,-6.26
