Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ,Tempature_MPU,SideWall,FrontWall,Proximity,Positionx,Positiony,Positionz
2018-07-24,16-13-31.457,Auto,Idle,None,3.44,2.63,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.3,0.26,6.46,0.36,-0.19,0.01,0.87,32.14,-0.39,-0.5,1,1,-1.32,0.05,6.039999,217.39,-4.06,-1.35,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.472,Auto,Idle,None,3.44,2.62,1.36,6.46,0.33,1.16,NC,NC,0,0,0,0,0,0,10.3,0.24,6.46,0.36,-0.19,0.01,0.87,32.11,-0.36,-0.5,1,1,-1.51,0.05999999,6.909999,249.5,-4.42,-1.85,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.485,Auto,Idle,None,3.44,2.62,1.37,6.51,0.31,1.16,NC,NC,0,0,0,0,0,0,10.3,0.24,6.51,0.36,-0.19,0.01,0.87,32.11,-0.36,-0.5,1,1,-1.51,0.05999999,6.909999,249.5,-4.42,-1.85,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.518,Auto,Idle,None,3.43,2.63,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.26,6.46,0.36,-0.19,0.01,0.87,32.11,-0.36,-0.5,1,1,-1.51,0.05999999,6.909999,249.5,-4.42,-1.85,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.532,Auto,Idle,None,3.43,2.63,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.26,6.46,0.24,-0.19,0.01,0.87,32.12,-0.37,-0.52,1,1,-1.7,0.06999999,7.779999,281.62,-4.79,-2.37,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.548,Auto,Idle,None,3.43,2.64,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.46,0.36,-0.19,0.01,0.87,32.12,-0.37,-0.52,1,1,-1.7,0.06999999,7.779999,281.62,-4.79,-2.37,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.563,Auto,Idle,None,3.43,2.63,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.26,6.46,0.24,-0.19,0.01,0.87,32.12,-0.37,-0.52,1,1,-1.7,0.06999999,7.779999,281.62,-4.79,-2.37,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.593,Auto,Idle,None,3.42,2.62,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.24,6.46,0.36,-0.19,0.01,0.87,32.1,-0.38,-0.51,1,1,-1.89,0.07999999,8.65,313.72,-5.17,-2.88,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.615,Auto,Idle,None,3.42,2.61,1.35,6.41,0.32,1.16,NC,NC,0,0,0,0,0,0,10,0.22,6.41,0.36,-0.19,0.01,0.87,32.16,-0.37,-0.47,1,1,-2.08,0.08999999,9.52,345.88,-5.54,-3.35,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.626,Auto,Idle,None,3.41,2.64,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.85,0.28,6.41,0.36,-0.19,0.01,0.87,32.16,-0.37,-0.47,1,1,-2.08,0.08999999,9.52,345.88,-5.54,-3.35,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.660,Auto,Idle,None,3.43,2.65,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.15,0.3,6.46,0.48,-0.19,0.01,0.87,32.16,-0.37,-0.47,1,1,-2.08,0.08999999,9.52,345.88,-5.54,-3.35,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.679,Auto,Idle,None,3.43,2.62,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.24,6.46,0.36,-0.19,0.01,0.87,32.11,-0.4,-0.5,1,1,-2.27,0.09999999,10.39,377.99,-5.94,-3.85,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.692,Auto,Idle,None,3.43,2.66,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.15,0.32,6.46,0.36,-0.19,0.01,0.87,32.11,-0.4,-0.5,1,1,-2.27,0.09999999,10.39,377.99,-5.94,-3.85,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.714,Auto,Idle,None,3.43,2.64,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.46,0.36,-0.19,0.01,0.87,32.11,-0.39,-0.5,1,1,-2.46,0.11,11.26,410.1,-6.33,-4.35,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.768,Auto,Idle,None,3.42,2.61,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.22,6.46,0.36,-0.19,0.01,0.87,32.11,-0.39,-0.5,1,1,-2.46,0.11,11.26,410.1,-6.33,-4.35,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.776,Auto,Idle,None,3.42,2.61,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.22,6.46,0.36,-0.19,0.01,0.87,32.11,-0.39,-0.5,1,1,-2.46,0.11,11.26,410.1,-6.33,-4.35,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.780,Auto,Idle,None,3.43,2.63,1.36,6.46,0.29,1.16,NC,NC,0,0,0,0,0,0,10.15,0.26,6.46,0.36,-0.19,0.01,0.87,32.09,-0.39,-0.5,1,1,-2.65,0.12,12.13,442.19,-6.72,-4.85,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.802,Auto,Idle,None,3.43,2.64,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.46,0.36,-0.19,0.01,0.87,32.11,-0.42,-0.53,1,1,-2.84,0.13,13,474.3,-7.14,-5.38,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.845,Auto,Idle,None,3.43,2.64,1.36,6.46,0.3,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.46,0.36,-0.19,0.01,0.87,32.11,-0.42,-0.53,1,1,-2.84,0.13,13,474.3,-7.14,-5.38,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.848,Auto,Idle,None,3.42,2.64,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.28,6.46,0.36,-0.19,0.01,0.87,32.11,-0.42,-0.53,1,1,-2.84,0.13,13,474.3,-7.14,-5.38,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.852,Auto,Idle,None,3.43,2.64,1.38,6.56,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.56,0.24,-0.19,0.01,0.87,32.11,-0.42,-0.53,1,1,-2.84,0.13,13,474.3,-7.14,-5.38,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.880,Auto,Idle,None,3.43,2.62,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.24,6.46,0.36,-0.19,0.01,0.87,32.1,-0.37,-0.53,1,1,-3.03,0.14,13.87,506.4,-7.51,-5.91,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.894,Auto,Idle,None,3.42,2.64,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.28,6.41,0.24,-0.19,0.01,0.87,32.1,-0.37,-0.53,1,1,-3.03,0.14,13.87,506.4,-7.51,-5.91,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.908,Auto,Idle,None,3.43,2.64,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.41,0.36,-0.19,0.01,0.87,32.15,-0.4,-0.49,1,1,-3.220001,0.15,14.74,538.55,-7.91,-6.4,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.924,Auto,Idle,None,3.42,2.64,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.28,6.41,0.36,-0.19,0.01,0.87,32.15,-0.4,-0.49,1,1,-3.220001,0.15,14.74,538.55,-7.91,-6.4,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.954,Auto,Idle,None,3.42,2.62,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.24,6.41,0.36,-0.19,0.01,0.87,32.14,-0.38,-0.49,1,1,-3.410001,0.16,15.61,570.69,-8.29,-6.889999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.973,Auto,Idle,None,3.42,2.62,1.35,6.41,0.32,1.16,NC,NC,0,0,0,0,0,0,10,0.24,6.41,0.36,-0.19,0.01,0.87,32.14,-0.38,-0.49,1,1,-3.410001,0.16,15.61,570.69,-8.29,-6.889999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.990,Auto,Idle,None,3.4,2.61,1.35,6.41,0.33,1.16,NC,NC,0,0,0,0,0,0,9.7,0.22,6.41,0.36,-0.19,0.01,0.87,32.11,-0.36,-0.5,1,1,-3.600001,0.17,16.48,602.8,-8.65,-7.389999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.018,Auto,Idle,None,3.41,2.62,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.85,0.24,6.41,0.36,-0.19,0.01,0.87,32.11,-0.36,-0.5,1,1,-3.600001,0.17,16.48,602.8,-8.65,-7.389999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.035,Auto,Idle,None,3.4,2.63,1.35,6.41,0.32,1.16,NC,NC,0,0,0,0,0,0,9.7,0.26,6.41,0.36,-0.19,0.01,0.87,32.12,-0.4,-0.5,1,1,-3.790001,0.18,17.35,634.92,-9.049999,-7.889999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.049,Auto,Idle,None,3.4,2.62,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.7,0.24,6.41,0.36,-0.19,0.01,0.87,32.12,-0.4,-0.5,1,1,-3.790001,0.18,17.35,634.92,-9.049999,-7.889999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.063,Auto,Idle,None,3.4,2.63,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.7,0.26,6.41,0.36,-0.19,0.01,0.87,32.12,-0.4,-0.5,1,1,-3.790001,0.18,17.35,634.92,-9.049999,-7.889999,-0.28,0,0,NC,null,null,null
