Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,AugarOutput,ImpellerOutput,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ,Tempature_MPU,SideWall,FrontWall,Proximity,Positionx,Positiony,Positionz
2018-07-27,19-27-25.694,None,Idle,None,3.35,2.54,1.38,6.56,0,0,NC,NC,0,0,0,0,0,0,8.4,0.14,6.6,0.24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-27,19-27-25.701,Auto,Idle,None,3.38,2.56,1.39,6.6,0.37,1.13,NC,NC,0,0,0,0,0,0,8.7,0.12,6.6,0.24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-27,19-27-25.731,Auto,Idle,None,3.39,2.57,1.39,6.6,0.36,1.13,NC,NC,0,0,0,0,0,0,8.85,0.14,6.6,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,-0.2,0,0,null,0.025,0.01257324,0.05856931
2018-07-27,19-27-25.783,Auto,Idle,None,3.36,2.55,1.38,6.56,0.33,1.13,NC,NC,0,0,0,0,0,0,8.4,0.1,6.56,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.05,0.02514648,0.1171386,13.66412,1.908397,-6.580153,-0.2,0,0,null,0.075,0.03771973,0.1757079
2018-07-27,19-27-25.827,Auto,Idle,None,3.37,2.56,1.39,6.6,0.33,1.13,NC,NC,0,0,0,0,0,0,8.55,0.12,6.6,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.075,0.03771973,0.1757079,20.49619,2.862596,-9.870229,-0.2,0,0,null,0.15,0.07543945,0.3514159
2018-07-27,19-27-25.891,Auto,Idle,None,3.36,2.56,1.38,6.56,0.33,1.13,NC,NC,0,0,0,0,0,0,8.4,0.12,6.56,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.09999999,0.05029297,0.2342772,27.32825,3.816794,-13.16031,-0.2,0,0,null,0.25,0.1257324,0.5856931
2018-07-27,19-27-25.946,Auto,Idle,None,3.36,2.55,1.38,6.56,0.33,1.13,NC,NC,0,0,0,0,0,0,8.4,0.1,6.56,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.125,0.06286621,0.2928466,34.16031,4.770992,-16.45038,-0.2,0,0,null,0.375,0.1885986,0.8785397
2018-07-27,19-27-25.993,Auto,Idle,None,3.36,2.56,1.38,6.56,0.33,1.13,NC,NC,0,0,0,0,0,0,8.4,0.12,6.56,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.15,0.07543945,0.3514159,40.99237,5.725191,-19.74046,-0.2,0,0,null,0.525,0.2640381,1.229956
2018-07-27,19-27-26.044,Auto,Idle,None,3.37,2.56,1.39,6.6,0.33,1.14,NC,NC,0,0,0,0,0,0,8.55,0.12,6.6,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.175,0.0880127,0.4099852,47.82443,6.679389,-23.03054,-0.2,0,0,null,0.6999999,0.3520508,1.639941
2018-07-27,19-27-26.080,Auto,Idle,None,3.36,2.56,1.38,6.56,0.33,1.13,NC,NC,0,0,0,0,0,0,8.4,0.12,6.56,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.2,0.1005859,0.4685545,54.65649,7.633587,-26.32061,-0.2,0,0,null,0.8999999,0.4526367,2.108495
2018-07-27,19-27-26.147,Auto,Idle,None,3.36,2.55,1.39,6.6,0.34,1.13,NC,NC,0,0,0,0,0,0,8.4,0.1,6.6,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.25,0.1257324,0.5856931,68.32062,9.541985,-32.90077,-0.2,0,0,null,1.375,0.6915283,3.221312
2018-07-27,19-27-26.304,Auto,Idle,None,3.36,2.55,1.38,6.56,0.34,1.13,NC,NC,0,0,0,0,0,0,8.4,0.1,6.56,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.275,0.1383057,0.6442624,75.15268,10.49618,-36.19085,-0.2,0,0,null,1.65,0.829834,3.865575
2018-07-27,19-27-26.308,Auto,Idle,None,3.37,2.56,1.4,6.65,0.33,1.13,NC,NC,0,0,0,0,0,0,8.55,0.12,6.65,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.275,0.1383057,0.6442624,75.15268,10.49618,-36.19085,-0.2,0,0,null,1.65,0.829834,3.865575
2018-07-27,19-27-26.314,Auto,Idle,None,3.36,2.55,1.4,6.65,0.34,1.13,NC,NC,0,0,0,0,0,0,8.4,0.1,6.65,0.12,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.325,0.1634521,0.7614011,88.8168,12.40458,-42.771,-0.2,0,0,null,2.275,1.144165,5.329808
2018-07-27,19-27-26.345,Auto,Idle,None,3.36,2.55,1.4,6.65,0.32,1.13,NC,NC,0,0,0,0,0,0,8.4,0.1,6.65,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.35,0.1760254,0.8199704,95.64886,13.35878,-46.06108,-0.2,0,0,null,2.625,1.32019,6.149778
2018-07-27,19-27-26.380,Auto,Idle,None,3.36,2.57,1.4,6.65,0.33,1.13,NC,NC,0,0,0,0,0,0,8.4,0.14,6.65,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.375,0.1885986,0.8785397,102.4809,14.31298,-49.35115,-0.2,0,0,null,3,1.508789,7.028318
2018-07-27,19-27-26.440,Auto,Idle,None,3.38,2.56,1.41,6.7,0.32,1.13,NC,NC,0,0,0,0,0,0,8.7,0.12,6.7,0.36,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.4,0.2011719,0.937109,109.313,15.26718,-52.64123,-0.2,0,0,null,3.4,1.709961,7.965427
2018-07-27,19-27-26.486,Auto,Idle,None,3.36,2.55,1.39,6.6,0.32,1.13,NC,NC,0,0,0,0,0,0,8.4,0.1,6.6,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.425,0.2137451,0.9956783,116.1451,16.22138,-55.93131,-0.2,0,0,null,3.825,1.923706,8.961105
2018-07-27,19-27-26.539,Auto,Idle,None,3.36,2.55,1.38,6.56,0.32,1.13,NC,NC,0,0,0,0,0,0,8.4,0.1,6.56,0.12,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.45,0.2263184,1.054248,122.9771,17.17558,-59.22139,-0.2,0,0,null,4.275,2.150024,10.01535
2018-07-27,19-27-26.585,Auto,Idle,None,3.36,2.55,1.38,6.56,0.32,1.13,NC,NC,0,0,0,0,0,0,8.4,0.1,6.56,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.4750001,0.2388916,1.112817,129.8092,18.12977,-62.51146,-0.2,0,0,null,4.75,2.388916,11.12817
2018-07-27,19-27-26.647,Auto,Idle,None,3.36,2.55,1.38,6.56,0.33,1.13,NC,NC,0,0,0,0,0,0,8.4,0.1,6.56,0.24,0.025,0.01257324,0.05856931,6.832062,0.9541985,-3.290076,1,1,0.5000001,0.2514648,1.171386,136.6412,19.08397,-65.80154,-0.2,0,0,null,5.25,2.640381,12.29956
