Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-22,18-52-58.658,Auto,Idle,None,3.66,2.61,0.03,0.14,0.38,1.04,NC,NC,0,0,0,0,0,0,13.6,0.22,0.14,1.68,0,0,0,0,0,0,1,1
2018-07-22,18-52-58.670,Auto,Idle,None,3.68,2.62,0.03,0.14,0.35,1.04,NC,NC,0,0,0,0,0,0,13.9,0.24,0.14,1.68,0,0,0,0,0,0,1,1
2018-07-22,18-52-58.684,Auto,Idle,None,3.68,2.62,0.03,0.14,0.35,1.04,NC,NC,0,0,0,0,0,0,13.9,0.24,0.14,1.68,0,0,0,0,0,0,1,1
2018-07-22,18-52-58.727,Auto,Idle,None,3.73,2.62,0.03,0.14,0.36,1.04,NC,NC,0,0,0,0,0,0,14.65,0.24,0.14,1.56,243,-515,-515,15,-515,-515,1,1
2018-07-22,18-52-58.746,Auto,Idle,None,3.69,2.62,0.03,0.14,0.36,1.04,NC,NC,0,0,0,0,0,0,14.05,0.24,0.14,1.68,243,-515,-515,15,-515,-515,1,1
2018-07-22,18-52-58.762,Auto,Idle,None,3.69,2.62,0.03,0.14,0.33,1.04,NC,NC,0,0,0,0,0,0,14.05,0.24,0.14,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.777,Auto,Idle,None,3.7,2.61,0.03,0.14,0.33,1.04,NC,NC,0,0,0,0,0,0,14.2,0.22,0.14,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.791,Auto,Idle,None,3.69,2.6,0.03,0.14,0.33,1.04,NC,NC,0,0,0,0,0,0,14.05,0.2,0.14,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.823,Auto,Idle,None,3.7,2.61,0.03,0.14,0.32,1.04,NC,NC,0,0,0,0,0,0,14.2,0.22,0.14,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.848,Auto,Idle,None,3.67,2.61,0.03,0.14,0.33,1.04,NC,NC,0,0,0,0,0,0,13.75,0.22,0.14,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.870,Auto,Idle,None,3.67,2.61,0.01,0.05,0.32,1.04,NC,NC,0,0,0,0,0,0,13.75,0.22,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.885,Auto,Idle,None,3.67,2.62,0.01,0.05,0.32,1.04,NC,NC,0,0,0,0,0,0,13.75,0.24,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.901,Auto,Idle,None,3.68,2.63,0.01,0.05,0.31,1.04,NC,NC,0,0,0,0,0,0,13.9,0.26,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.921,Auto,Idle,None,3.68,2.62,0.01,0.05,0.32,1.04,NC,NC,0,0,0,0,0,0,13.9,0.24,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.933,Auto,Idle,None,3.66,2.6,0.01,0.05,0.32,1.04,NC,NC,0,0,0,0,0,0,13.6,0.2,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.964,Auto,Idle,None,3.66,2.59,0.01,0.05,0.32,1.04,NC,NC,0,0,0,0,0,0,13.6,0.18,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-58.983,Auto,Idle,None,3.67,2.6,0.01,0.05,0.33,1.04,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-59.013,Auto,Idle,None,3.67,2.6,0.01,0.05,0.32,1.04,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-59.027,Auto,Idle,None,3.68,2.61,0.01,0.05,0.32,1.04,NC,NC,0,0,0,0,0,0,13.9,0.22,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-59.040,Auto,Idle,None,3.68,2.61,0.01,0.05,0.32,1.04,NC,NC,0,0,0,0,0,0,13.9,0.22,0.05,1.56,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-59.056,Auto,Idle,None,3.68,2.61,0.01,0.05,0.32,1.04,NC,NC,0,0,0,0,0,0,13.9,0.22,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-59.075,Auto,Idle,None,3.68,2.62,0.01,0.05,0.33,1.04,NC,NC,0,0,0,0,0,0,13.9,0.24,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-59.105,Auto,Idle,None,3.66,2.59,0.01,0.05,0.31,1.04,NC,NC,0,0,0,0,0,0,13.6,0.18,0.05,1.68,243,-515,-515,16,-515,-515,1,1
2018-07-22,18-52-59.122,Auto,Idle,None,3.67,2.6,0.01,0.05,0.31,1.04,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.68,243,-515,-515,16,-515,-515,1,1
