Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-22,18-49-39.595,Auto,Idle,None,3.69,2.6,0,0,0,0,NC,NC,0,0,0,0,0,0,14.05,0.2,0.14,1.68,0,0,0,0,0,0,1,1
2018-07-22,18-49-39.599,Auto,Idle,None,3.69,2.6,0.03,0.14,0.37,1.02,NC,NC,0,0,0,0,0,0,14.05,0.2,0.14,1.68,0,0,0,0,0,0,1,1
2018-07-22,18-49-39.605,Auto,Idle,None,3.71,2.59,0.03,0.14,0.35,1.02,NC,NC,0,0,0,0,0,0,14.35,0.18,0.14,1.56,0,0,0,0,0,0,1,1
2018-07-22,18-49-39.640,Auto,Idle,None,3.7,2.6,0.03,0.14,0.29,1.02,NC,NC,0,0,0,0,0,0,14.2,0.2,0.14,1.68,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.673,Auto,Idle,None,3.71,2.61,0.03,0.14,0.36,1.02,NC,NC,0,0,0,0,0,0,14.35,0.22,0.14,1.68,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.684,Auto,Idle,None,3.7,2.61,0.03,0.14,0.36,1.02,NC,NC,0,0,0,0,0,0,14.2,0.22,0.14,1.56,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.704,Auto,Idle,None,3.69,2.59,0.03,0.14,0.33,1.02,NC,NC,0,0,0,0,0,0,14.05,0.18,0.14,1.68,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.718,Auto,Idle,None,3.71,2.6,0.03,0.14,0.33,1.02,NC,NC,0,0,0,0,0,0,14.35,0.2,0.14,1.68,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.729,Auto,Idle,None,3.69,2.58,0.03,0.14,0.33,1.02,NC,NC,0,0,0,0,0,0,14.05,0.16,0.14,1.68,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.759,Auto,Idle,None,3.68,2.6,0.03,0.14,0.32,1.02,NC,NC,0,0,0,0,0,0,13.9,0.2,0.14,1.68,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.777,Auto,Idle,None,3.69,2.6,0.03,0.14,0.33,1.02,NC,NC,0,0,0,0,0,0,14.05,0.2,0.14,1.68,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.799,Auto,Idle,None,3.7,2.59,0.03,0.14,0.32,1.02,NC,NC,0,0,0,0,0,0,14.2,0.18,0.14,1.68,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.822,Auto,Idle,None,3.7,2.61,0.01,0.05,0.33,1.02,NC,NC,0,0,0,0,0,0,14.2,0.22,0.05,1.68,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.836,Auto,Idle,None,3.71,2.61,0.01,0.05,0.32,1.02,NC,NC,0,0,0,0,0,0,14.35,0.22,0.05,1.56,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.851,Auto,Idle,None,3.71,2.61,0.01,0.05,0.32,1.02,NC,NC,0,0,0,0,0,0,14.35,0.22,0.05,1.56,-515,-515,-515,-515,-515,-515,1,1
2018-07-22,18-49-39.866,Auto,Idle,None,3.71,2.61,0.01,0.05,0.32,1.02,NC,NC,0,0,0,0,0,0,14.35,0.22,0.05,1.68,-515,-515,-515,-515,-515,-515,1,1
