Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-21,20-32-40.050,None,Idle,None,0,0,0,0,0,0,NC,NC,0,0,0,0,0,0,7.3,0.18,6.32,0,0,0,0,0,0,0,1,1
2018-07-21,20-32-40.066,None,Idle,None,3.25,2.59,1.34,6.36,0.21,0,NC,NC,0,0,0,0,0,0,7.45,0.18,6.36,0.12,-0.17,-0.02,0.88,31.01,-0.44,-0.31,1,1
2018-07-21,20-32-40.085,None,Idle,None,3.26,2.6,1.34,6.36,0.19,0,NC,NC,0,0,0,0,0,0,7.6,0.2,6.36,0,-0.17,-0.02,0.88,31,-0.4,-0.31,1,1
2018-07-21,20-32-40.089,None,Idle,None,3.27,2.59,1.34,6.36,0.18,0,NC,NC,0,0,0,0,0,0,7.75,0.18,6.36,0.12,-0.17,-0.03,0.88,31,-0.39,-0.38,1,1
2018-07-21,20-32-40.102,None,Idle,None,3.27,2.58,1.32,6.27,0.17,0,NC,NC,0,0,0,0,0,0,7.75,0.16,6.27,0,-0.17,-0.02,0.87,31.01,-0.41,-0.34,1,1
2018-07-21,20-32-40.119,None,Idle,None,3.25,2.58,1.32,6.27,0.18,0,NC,NC,0,0,0,0,0,0,7.45,0.16,6.27,0.12,-0.17,-0.03,0.88,30.97,-0.41,-0.35,1,1
2018-07-21,20-32-40.151,None,Idle,None,3.24,2.56,1.32,6.27,0.17,0,NC,NC,0,0,0,0,0,0,7.3,0.12,6.27,0,-0.17,-0.02,0.88,31.06,-0.43,-0.29,1,1
2018-07-21,20-32-40.165,None,Idle,None,3.24,2.57,1.32,6.27,0.17,0,NC,NC,0,0,0,0,0,0,7.3,0.14,6.27,0.12,-0.17,-0.02,0.88,31.06,-0.43,-0.29,1,1
2018-07-21,20-32-40.187,None,Idle,None,3.24,2.57,1.33,6.32,0.17,0,NC,NC,0,0,0,0,0,0,7.3,0.14,6.32,0.12,-0.17,-0.02,0.88,31.05,-0.39,-0.3,1,1
2018-07-21,20-32-40.216,None,Idle,None,3.26,2.58,1.33,6.32,0.17,0,NC,NC,0,0,0,0,0,0,7.6,0.16,6.32,0.12,-0.17,-0.02,0.88,30.98,-0.42,-0.34,1,1
