Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-22,18-58-46.970,Auto,Idle,None,3.68,2.61,0.03,0.14,0.33,1.05,NC,NC,0,0,0,0,0,0,13.9,0.22,0.14,1.56,243,154,-515,16,12,-515,1,1
2018-07-22,18-58-46.997,Auto,Idle,None,3.66,2.62,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.24,0.14,1.68,243,154,-515,16,12,-515,1,1
2018-07-22,18-58-47.015,Auto,Idle,None,3.68,2.61,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.22,0.14,1.56,243,154,-515,16,12,-515,1,1
2018-07-22,18-58-47.029,Auto,Idle,None,3.67,2.62,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.14,1.56,243,152,-515,16,8,-515,1,1
2018-07-22,18-58-47.060,Auto,Idle,None,3.68,2.62,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.24,0.14,1.56,243,152,-515,16,8,-515,1,1
2018-07-22,18-58-47.080,Auto,Idle,None,3.68,2.62,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.24,0.14,1.68,243,146,-515,16,13,-515,1,1
2018-07-22,18-58-47.090,Auto,Idle,None,3.68,2.61,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.22,0.14,1.56,243,146,-515,16,13,-515,1,1
2018-07-22,18-58-47.111,Auto,Idle,None,3.68,2.61,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.22,0.14,1.56,243,146,-515,16,13,-515,1,1
2018-07-22,18-58-47.140,Auto,Idle,None,3.66,2.62,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.24,0.14,1.56,243,158,-515,16,10,-515,1,1
2018-07-22,18-58-47.155,Auto,Idle,None,3.68,2.6,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.2,0.14,1.68,243,162,-515,16,12,-515,1,1
2018-07-22,18-58-47.170,Auto,Idle,None,3.68,2.6,0.03,0.14,0.31,1.05,NC,NC,0,0,0,0,0,0,13.9,0.2,0.14,1.56,243,162,-515,16,12,-515,1,1
