Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-22,19-06-27.124,Auto,Idle,None,3.65,2.63,0,0,0,0,NC,NC,0,0,0,0,0,0,13.45,0.26,0.14,0.96,0,0,0,0,0,0,1,1
2018-07-22,19-06-27.187,Auto,Idle,None,3.67,2.62,0.03,0.14,0.36,1.06,NC,NC,0,0,0,0,0,0,13.75,0.24,0.14,0.96,0,0,0,0,0,0,1,1
2018-07-22,19-06-27.191,Auto,Idle,None,3.67,2.62,0.03,0.14,0.37,1.06,NC,NC,0,0,0,0,0,0,13.75,0.24,0.14,0.96,-3100,-32,13918,3699,-205,197,1,1
2018-07-22,19-06-27.205,Auto,Idle,None,3.67,2.62,0.03,0.14,0.35,1.06,NC,NC,0,0,0,0,0,0,13.75,0.24,0.14,0.96,-3100,-32,13918,3699,-205,197,1,1
2018-07-22,19-06-27.222,Auto,Idle,None,3.66,2.62,0.03,0.14,0.34,1.06,NC,NC,0,0,0,0,0,0,13.6,0.24,0.14,1.08,-3100,-32,13918,3699,-205,197,1,1
2018-07-22,19-06-27.237,Auto,Idle,None,3.66,2.61,0.03,0.14,0.33,1.06,NC,NC,0,0,0,0,0,0,13.6,0.22,0.14,0.96,-3158,-18,14164,3991,-102,26,1,1
2018-07-22,19-06-27.267,Auto,Idle,None,3.66,2.61,0.03,0.14,0.33,1.06,NC,NC,0,0,0,0,0,0,13.6,0.22,0.14,0.96,-3158,-18,14164,3991,-102,26,1,1
2018-07-22,19-06-27.284,Auto,Idle,None,3.66,2.63,0.03,0.14,0.34,1.06,NC,NC,0,0,0,0,0,0,13.6,0.26,0.14,0.96,-3168,-56,14268,4080,-67,-32,1,1
2018-07-22,19-06-27.299,Auto,Idle,None,3.65,2.6,0.03,0.14,0.32,1.06,NC,NC,0,0,0,0,0,0,13.45,0.2,0.14,0.96,-3168,-56,14268,4080,-67,-32,1,1
2018-07-22,19-06-27.329,Auto,Idle,None,3.66,2.61,0.03,0.14,0.33,1.06,NC,NC,0,0,0,0,0,0,13.6,0.22,0.14,0.96,-3168,-56,14268,4080,-67,-41,1,1
