Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,AugarOutput,ImpellerOutput,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ,Tempature_MPU,SideWall,FrontWall,Proximity,Positionx,Positiony,Positionz
2018-08-04,13-46-34.791,None,Idle,None,3.59,2.56,1.42,6.74,0,0,NC,NC,0,0,0,0,0,0,8.35,0.12,6.74,0.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-08-04,13-46-34.840,Auto,Idle,TurnToMap,3.6,2.58,1.43,6.79,0.42,1,NC,NC,0,0,0,0,0,0,8.5,0.16,6.79,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-08-04,13-46-34.874,Auto,Idle,TurnToMap,3.6,2.58,1.43,6.79,0.42,1,NC,NC,0,0,0,0,0,0,8.5,0.16,6.79,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-08-04,13-46-34.930,Auto,Idle,TurnToMap,3.6,2.58,1.43,6.79,0.42,1,NC,NC,0,0,0,0,0,0,8.5,0.16,6.79,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-08-04,13-46-34.961,Auto,Idle,TurnToMap,3.6,2.58,1.43,6.79,0.42,1,NC,NC,0,0,0,0,0,0,8.5,0.16,6.79,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-08-04,13-46-35.074,Auto,Idle,TurnToMap,3.6,2.58,1.43,6.79,0.42,1,NC,NC,0,0,0,0,0,0,8.5,0.16,6.79,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-08-04,13-46-35.077,Auto,Idle,TurnToMap,3.6,2.58,1.43,6.79,0.42,1,NC,NC,0,0,0,0,0,0,8.5,0.16,6.79,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-08-04,13-46-35.117,Auto,Idle,TurnToMap,3.6,2.58,1.43,6.79,0.42,1,NC,NC,0,0,0,0,0,0,8.5,0.16,6.79,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,null,0,0,0
2018-08-04,13-46-35.164,Auto,Idle,TurnToMap,3.6,2.58,1.43,6.79,0.42,1,NC,NC,0,0,0,0,0,0,8.5,0.16,6.79,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,null,0,0,0
2018-08-04,13-46-35.223,Auto,Idle,TurnToMap,3.6,2.58,1.43,6.79,0.42,1,NC,NC,0,0,0,0,0,0,8.5,0.16,6.79,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,null,0,0,0
2018-08-04,13-46-35.273,Auto,Idle,TurnToMap,3.62,2.57,1.43,6.79,0.42,1.01,NC,NC,0,0,0,0,0,0,8.8,0.14,6.79,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,null,0,0,0
