Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,AugarOutput,ImpellerOutput,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ,Tempature_MPU,SideWall,FrontWall,Proximity,Positionx,Positiony,Positionz
2018-07-29,20-35-45.147,Auto,Idle,TurnToMap,3.57,2.54,1.95,9.26,0.6,0.68,NC,NC,0,0,0,0,0,0,8.05,0.08,9.26,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-35-45.151,Auto,Idle,TurnToMap,3.57,2.54,1.95,9.26,0.6,0.68,NC,NC,0,0,0,0,0,0,8.05,0.08,9.26,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-35-45.188,Auto,Idle,TurnToMap,3.57,2.54,1.95,9.26,0.6,0.68,NC,NC,0,0,0,0,0,0,8.05,0.08,9.26,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-35-45.270,Auto,Idle,TurnToMap,3.57,2.54,1.95,9.26,0.6,0.68,NC,NC,0,0,0,0,0,0,8.05,0.08,9.26,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-35-45.357,Auto,Idle,TurnToMap,3.57,2.54,1.95,9.26,0.6,0.68,NC,NC,0,0,0,0,0,0,8.05,0.08,9.26,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-35-45.364,Auto,Idle,TurnToMap,3.57,2.54,1.95,9.26,0.6,0.68,NC,NC,0,0,0,0,0,0,8.05,0.08,9.26,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-35-45.423,Auto,Idle,TurnToMap,3.57,2.54,1.95,9.26,0.6,0.68,NC,NC,0,0,0,0,0,0,8.05,0.08,9.26,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-35-45.474,Auto,Idle,TurnToMap,3.57,2.54,1.95,9.26,0.6,0.68,NC,NC,0,0,0,0,0,0,8.05,0.08,9.26,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-35-45.517,Auto,Idle,TurnToMap,3.57,2.54,1.95,9.26,0.6,0.68,NC,NC,0,0,0,0,0,0,8.05,0.08,9.26,0.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-35-45.573,Auto,Idle,TurnToMap,3.62,2.55,1.96,9.31,0.6,0.69,NC,NC,1,0.3,0,0,0,0,8.8,0.1,9.31,0.36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,null,0,0,0
2018-07-29,20-35-45.641,Auto,Idle,TurnToMap,3.59,2.57,1.96,9.31,0.31,0.47,NC,NC,1,0.3,0,0,0,0,8.35,0.14,9.31,0.48,-0.1,0,0.6,37,1,-3,1,1,-0.2,0,1.2,74,2,-6,-0.2,0,0,null,0,0,2
2018-07-29,20-35-45.670,Auto,Idle,TurnToMap,3.59,2.55,1.96,9.31,0.32,0.48,NC,NC,1,0.3,0,0,0,0,8.35,0.1,9.31,0.48,-0.1,0,0.6,37,1,-3,1,1,-0.3,0,1.8,111,3,-9,-0.2,0,0,null,0,0,4
2018-07-29,20-35-45.721,Auto,Idle,TurnToMap,3.59,2.55,1.94,9.22,0.29,0.45,NC,NC,1,0.3,1,0,0,0,8.35,0.1,9.22,0.6,-0.1,0,0.6,37,1,-3,1,1,-0.4,0,2.4,148,4,-12,-0.2,0,0,null,0,0,6
2018-07-29,20-35-45.768,Auto,Idle,TurnToMap,3.59,2.55,1.96,9.31,0.29,0.46,NC,NC,1,0.3,2,0,0,0,8.35,0.1,9.31,0.36,-0.1,0,0.6,37,1,-3,1,1,-0.5,0,3,185,5,-15,-0.2,0,0,null,0,0,9
2018-07-29,20-35-45.812,Auto,Idle,TurnToMap,3.59,2.56,1.96,9.31,0.29,0.45,NC,NC,1,0.3,3,0,0,0,8.35,0.12,9.31,0.36,-0.1,0,0.6,37,1,-3,1,1,-0.6,0,3.6,222,6,-18,-0.2,0,0,null,-1,0,13
2018-07-29,20-35-45.878,Auto,Idle,TurnToMap,3.59,2.55,1.96,9.31,0.29,0.45,NC,NC,1,0.3,4,0,0,0,8.35,0.1,9.31,0.36,-0.1,0,0.6,37,1,-3,1,1,-0.7,0,4.2,259,7,-21,-0.2,0,0,null,-2,0,17
2018-07-29,20-35-45.924,Auto,Idle,TurnToMap,3.6,2.56,1.95,9.26,0.29,0.46,NC,NC,1,0.3,4,0,0,0,8.5,0.12,9.26,0.6,-0.1,0,0.6,37,1,-3,1,1,-0.8,0,4.8,296,8,-24,-0.2,0,0,null,-3,0,22
2018-07-29,20-35-45.958,Auto,Idle,TurnToMap,3.59,2.55,1.96,9.31,0.29,0.45,NC,NC,1,0.3,5,0,0,0,8.35,0.1,9.31,0.48,-0.1,0,0.6,37,1,-3,1,1,-0.9,0,5.4,333,9,-27,-0.2,0,0,null,-4,0,27
2018-07-29,20-35-46.002,Auto,Idle,TurnToMap,3.61,2.56,1.94,9.22,0.29,0.45,NC,NC,1,0.3,6,0,0,0,8.65,0.12,9.22,0.36,-0.1,0,0.6,38,1,-3,1,1,-1,0,6,371,10,-30,-0.2,0,0,null,-5,0,33
2018-07-29,20-35-46.066,Auto,Idle,TurnToMap,3.58,2.57,1.96,9.31,0.29,0.46,NC,NC,1,0.3,7,0,0,0,8.2,0.14,9.31,0.6,-0.1,0,0.6,37,0,-3,1,1,-1.1,0,6.6,408,10,-33,-0.2,0,0,null,-6,0,40
2018-07-29,20-35-46.127,Auto,Idle,TurnToMap,3.58,2.57,1.95,9.26,0.29,0.45,NC,NC,1,0.3,8,0,0,0,8.2,0.14,9.26,0.48,-0.1,0,0.6,38,1,-3,1,1,-1.2,0,7.2,446,11,-36,-0.2,0,0,null,-7,0,47
2018-07-29,20-35-46.178,Auto,Idle,TurnToMap,3.59,2.55,1.94,9.22,0.31,0.47,NC,NC,1,0.3,8,0,0,0,8.35,0.1,9.22,0.48,-0.1,0,0.6,37,1,-3,1,1,-1.4,0,8.4,521,12,-42,-0.2,0,0,null,-9,0,63
2018-07-29,20-35-46.224,Auto,Idle,TurnToMap,3.58,2.55,1.96,9.31,0.31,0.47,NC,NC,1,0.3,9,0,0,0,8.2,0.1,9.31,0.48,-0.1,0,0.6,37,1,-3,1,1,-1.5,0,9,558,13,-45,-0.2,0,0,null,-10,0,72
2018-07-29,20-35-46.262,Auto,Idle,TurnToMap,3.59,2.54,1.93,9.17,0.31,0.47,NC,NC,1,0.3,10,0,0,0,8.35,0.08,9.17,0.48,-0.1,0,0.6,37,1,-3,1,1,-1.6,0,9.6,595,14,-48,-0.2,0,0,null,-12,0,82
2018-07-29,20-35-46.322,Auto,Idle,TurnToMap,3.59,2.54,1.95,9.26,0.28,0.45,NC,NC,1,0.3,11,0,0,0,8.35,0.08,9.26,0.48,-0.1,0,0.6,38,1,-3,1,1,-1.7,0,10.2,633,15,-51,-0.2,0,0,null,-14,0,92
2018-07-29,20-35-46.364,Auto,Idle,TurnToMap,3.59,2.56,1.96,9.31,0.28,0.45,NC,NC,1,0.3,11,0,0,0,8.35,0.12,9.31,0.48,-0.1,0,0.6,37,1,-3,1,1,-1.8,0,10.8,670,16,-54,-0.2,0,0,null,-16,0,103
2018-07-29,20-35-46.420,Auto,Idle,TurnToMap,3.59,2.54,1.95,9.26,0.28,0.45,NC,NC,1,0.3,12,0,0,0,8.35,0.08,9.26,0.48,-0.1,0,0.6,38,1,-3,1,1,-1.9,0,11.4,708,17,-57,-0.2,0,0,null,-18,0,114
2018-07-29,20-35-46.467,Auto,Idle,TurnToMap,3.58,2.56,1.95,9.26,0.28,0.45,NC,NC,1,0.3,13,0,0,0,8.2,0.12,9.26,0.48,-0.1,0,0.6,37,1,-3,1,1,-2,0,12,745,18,-60,-0.2,0,0,null,-20,0,126
2018-07-29,20-35-46.515,Auto,Idle,TurnToMap,3.58,2.54,1.96,9.31,0.28,0.44,NC,NC,1,0.3,14,0,0,0,8.2,0.08,9.31,0.36,-0.1,0,0.6,38,1,-3,1,1,-2.1,0,12.6,783,19,-63,-0.2,0,0,null,-22,0,139
2018-07-29,20-35-46.559,Auto,Idle,TurnToMap,3.58,2.55,1.94,9.22,0.28,0.45,NC,NC,1,0.3,14,0,0,0,8.2,0.1,9.22,0.48,-0.1,0,0.6,37,1,-3,1,1,-2.2,0,13.2,820,20,-66,-0.2,0,0,null,-24,0,152
2018-07-29,20-35-46.631,Auto,Idle,TurnToMap,3.59,2.54,1.96,9.31,0.27,0.44,NC,NC,1,0.3,15,0,0,0,8.35,0.08,9.31,0.48,-0.1,0,0.6,38,1,-3,1,1,-2.3,0,13.8,858,21,-69,-0.2,0,0,null,-26,0,166
2018-07-29,20-35-46.675,Auto,Idle,TurnToMap,3.62,2.57,1.97,9.36,0.29,0.45,NC,NC,1,0.3,16,0,0,0,8.8,0.14,9.36,0.48,-0.1,0,0.6,37,1,-3,1,1,-2.4,0,14.4,895,22,-72,-0.2,0,0,null,-28,0,180
2018-07-29,20-35-46.716,Auto,Idle,TurnToMap,3.6,2.58,1.97,9.36,0.27,0.44,NC,NC,1,0.3,17,0,0,0,8.5,0.16,9.36,0.48,-0.1,0,0.6,38,1,-3,1,1,-2.5,0,15,933,23,-75,-0.2,0,0,null,-30,0,195
2018-07-29,20-35-46.763,Auto,Idle,TurnToMap,3.62,2.55,1.94,9.22,0.28,0.45,NC,NC,1,0.3,17,0,0,0,8.8,0.1,9.22,0.6,-0.1,0,0.6,37,1,-3,1,1,-2.6,0,15.6,970,24,-78,-0.2,0,0,null,-33,0,211
2018-07-29,20-35-46.815,Auto,Idle,TurnToMap,3.6,2.55,1.96,9.31,0.28,0.44,NC,NC,1,0.3,18,0,0,0,8.5,0.1,9.31,0.36,-0.1,0,0.6,37,1,-3,1,1,-2.7,0,16.2,1007,25,-81,-0.2,0,0,null,-36,0,227
2018-07-29,20-35-46.876,Auto,Idle,TurnToMap,3.59,2.57,1.96,9.31,0.28,0.45,NC,NC,1,0.3,19,0,0,0,8.35,0.14,9.31,0.36,-0.1,0,0.6,37,1,-3,1,1,-2.8,0,16.8,1044,26,-84,-0.2,0,0,null,-39,0,244
2018-07-29,20-35-46.922,Auto,Idle,TurnToMap,3.59,2.56,1.96,9.31,0.28,0.45,NC,NC,1,0.3,20,0,0,0,8.35,0.12,9.31,0.48,-0.1,0,0.6,37,1,-3,1,1,-2.9,0,17.4,1081,27,-87,-0.2,0,0,null,-42,0,261
2018-07-29,20-35-46.970,Auto,Idle,TurnToMap,3.6,2.57,1.96,9.31,0.28,0.44,NC,NC,1,0.3,21,0,0,0,8.5,0.14,9.31,0.48,-0.1,0,0.6,37,1,-3,1,1,-3,0,18,1118,28,-90,-0.2,0,0,null,-45,0,279
2018-07-29,20-35-47.021,Auto,Idle,TurnToMap,3.6,2.56,1.96,9.31,0.27,0.44,NC,NC,1,0.3,21,0,0,0,8.5,0.12,9.31,0.48,-0.1,0,0.6,38,1,-3,1,1,-3.1,0,18.6,1156,29,-93,-0.1,0,0,null,-48,0,298
2018-07-29,20-35-47.066,Auto,Idle,TurnToMap,3.58,2.54,1.94,9.22,0.3,0.46,NC,NC,1,0.3,22,0,0,0,8.2,0.08,9.22,0.36,-0.1,0,0.6,37,1,-3,1,1,-3.3,0,19.8,1230,31,-99,-0.1,0,0,null,-54,0,337
2018-07-29,20-35-47.127,Auto,Idle,TurnToMap,3.59,2.55,1.96,9.31,0.27,0.44,NC,NC,1,0.3,23,0,0,0,8.35,0.1,9.31,0.48,-0.1,0,0.6,37,1,-3,1,1,-3.4,0,20.4,1267,32,-102,-0.1,0,0,null,-57,0,357
2018-07-29,20-35-47.167,Auto,Idle,TurnToMap,3.59,2.56,1.95,9.26,0.27,0.44,NC,NC,1,0.3,24,0,0,0,8.35,0.12,9.26,0.48,-0.1,0,0.6,37,1,-3,1,1,-3.5,0,21,1304,33,-105,-0.1,0,0,null,-60,0,378
2018-07-29,20-35-47.212,Auto,Idle,TurnToMap,3.59,2.56,1.96,9.31,0.27,0.44,NC,NC,1,0.3,25,0,0,0,8.35,0.12,9.31,0.48,-0.1,0,0.6,37,1,-3,1,1,-3.6,0,21.6,1341,34,-108,-0.1,0,0,null,-64,0,400
2018-07-29,20-35-47.255,Auto,Idle,TurnToMap,3.59,2.54,1.94,9.22,0.28,0.44,NC,NC,1,0.3,25,0,0,0,8.35,0.08,9.22,0.48,-0.1,0,0.6,37,1,-3,1,1,-3.7,0,22.2,1378,35,-111,-0.1,0,0,null,-68,0,422
